time,base,trend,uncert_center_ana,uncert_lower_ana,uncert_upper_ana,central_det,bull,bear
2025-04-16,104.43781790456097,110.60936478430031,104.43781791456095,97.29532494376674,112.10464446322574,105.98070462499581,110.60936478430031,104.43781790456097
2025-04-17,103.6385894904575,110.69024695216552,103.6385895004575,96.42532688373349,111.39145264807279,105.4015038563845,110.69024695216552,103.6385894904575
2025-04-18,103.48365186272132,110.77112912003074,103.48365187272127,96.15830724086348,111.36704162325064,105.30552117754866,110.77112912003074,103.48365186272132
2025-04-21,102.86825431438903,110.85201128789598,102.86825432438906,95.46657720524479,110.84379536303136,104.86419355826577,110.85201128789598,102.86825431438903
2025-04-22,102.40594218610336,110.93289345576119,102.40594219610331,94.92029298305191,110.48192823155435,104.53768000401782,110.93289345576119,102.40594218610336
2025-04-23,101.94001709092896,111.0137756236264,101.94001710092898,94.3737307060747,110.11292028819618,104.20845672460331,111.0137756236264,101.94001709092896
2025-04-24,101.51973211434033,111.09465779149164,101.51973212434031,93.87232475575328,109.79014355310467,103.91346353412814,111.09465779149164,101.51973211434033
2025-04-25,101.16860304777283,111.17553995935685,101.1686030577728,93.43753286165784,109.53934603362342,103.67033727616882,111.17553995935685,101.16860304777283
2025-04-28,100.85382323238551,111.25642212722207,100.85382324238554,93.03876641721538,109.32532807877243,103.45447295659464,111.25642212722207,100.85382323238551
2025-04-29,100.62642855250202,111.3373042950873,100.62642856250204,92.722846206066,109.20370264240118,103.30414748864834,111.3373042950873,100.62642855250202
2025-04-30,100.53239129058471,111.41818646295252,100.53239130058468,92.53172976711143,109.22482186436034,103.25384008417666,111.41818646295252,100.53239129058471
2025-05-01,100.38060761742963,111.49906863081773,100.38060762742965,92.28923354317244,109.18138552898871,103.16022287127664,111.49906863081773,100.38060761742963
